time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
1.1,inf,0.000,0.000,0.000,0.000,0.000,0,0
1.5,inf,0.000,0.000,0.000,0.000,0.000,0,0
2.1,inf,0.000,0.000,0.000,0.000,0.000,0,0
2.6,inf,0.000,0.000,0.000,0.000,0.000,0,0
3.0,inf,0.000,0.000,-2.000,-0.500,0.000,0,0
3.6,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
4.0,0.507,0.000,0.000,-2.000,-0.500,0.000,0,0
4.5,0.507,0.000,0.000,-2.000,-0.500,0.000,0,0
5.0,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
5.6,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
6.1,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
6.6,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
7.1,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
7.6,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
8.1,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
8.6,0.524,0.000,0.000,-2.000,-0.500,0.000,0,0
9.1,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
9.6,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
10.0,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
10.5,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
11.1,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
11.5,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
12.1,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
12.5,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
13.0,0.514,0.000,0.000,-2.000,-0.500,0.000,0,0
13.6,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
14.0,0.508,0.000,0.000,-2.000,-0.500,0.000,0,0
14.5,0.508,0.000,0.000,-2.000,-0.500,0.000,0,0
15.1,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
15.6,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
16.0,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
16.6,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
17.0,0.507,0.000,0.000,-2.000,-0.500,0.000,0,0
17.6,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
18.1,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
18.6,0.523,0.000,0.000,-2.000,-0.500,0.000,0,0
19.0,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
19.5,0.502,0.000,0.000,-2.000,-0.500,0.000,0,0
20.0,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
20.5,0.513,0.220,-0.126,-1.999,-0.500,0.001,0,0
21.1,0.520,0.220,-0.126,-1.983,-0.500,0.017,0,0
21.6,0.557,0.220,-0.126,-1.931,-0.501,0.069,0,0
22.1,0.570,0.196,-0.126,-1.887,-0.502,0.113,0,0
22.6,0.634,0.171,-0.126,-1.846,-0.505,0.154,0,0
23.0,0.666,0.220,-0.042,-1.813,-0.508,0.188,0,0
23.6,0.701,0.220,0.000,-1.760,-0.513,0.240,0,0
24.1,0.679,0.220,0.000,-1.731,-0.516,0.270,0,0
24.5,0.679,0.220,-0.042,-1.703,-0.519,0.298,0,0
25.0,0.638,0.220,0.000,-1.673,-0.522,0.328,0,0
25.6,0.622,0.220,0.000,-1.650,-0.524,0.351,0,0
26.1,0.622,0.220,0.000,-1.621,-0.528,0.381,0,0
26.5,0.600,0.220,0.000,-1.591,-0.531,0.410,0,0
27.0,0.554,0.220,0.000,-1.546,-0.536,0.455,0,0
27.5,0.537,0.220,0.000,-1.517,-0.539,0.485,0,0
28.1,0.516,0.220,0.042,-1.472,-0.544,0.530,0,0
28.5,0.516,0.220,0.000,-1.435,-0.548,0.568,0,0
29.1,0.489,0.220,0.000,-1.398,-0.552,0.605,0,0
29.5,0.468,0.220,0.000,-1.353,-0.556,0.650,0,0
30.0,0.438,0.220,0.042,-1.323,-0.559,0.680,0,0
30.6,0.425,0.220,0.042,-1.286,-0.563,0.717,0,0
31.1,0.408,0.220,0.042,-1.256,-0.566,0.747,0,0
31.6,0.408,0.220,0.042,-1.219,-0.569,0.784,0,0
32.1,0.391,0.220,-0.042,-1.204,-0.570,0.799,0,0
32.6,0.391,0.220,-0.042,-1.167,-0.573,0.837,0,0
33.1,0.360,0.220,-0.042,-1.137,-0.575,0.867,0,0
33.5,0.365,0.220,0.042,-1.100,-0.579,0.904,0,0
34.0,0.359,0.220,0.042,-1.062,-0.582,0.941,0,0
34.5,0.358,0.220,0.000,-1.025,-0.586,0.979,0,0
35.0,0.358,0.220,0.000,-0.995,-0.588,1.009,0,0
35.6,0.365,0.220,0.000,-0.966,-0.591,1.039,0,0
36.0,0.364,0.220,0.042,-0.936,-0.594,1.069,0,0
36.6,0.364,0.220,0.042,-0.906,-0.596,1.099,0,0
37.1,0.363,0.220,0.000,-0.869,-0.599,1.136,0,0
37.6,0.389,0.220,0.126,-0.831,-0.602,1.173,0,0
38.1,0.400,0.220,0.126,-0.802,-0.603,1.203,0,0
38.6,0.420,0.196,0.126,-0.764,-0.605,1.241,0,0
39.0,0.420,0.220,0.042,-0.729,-0.605,1.276,0,0
39.6,0.439,0.220,0.042,-0.691,-0.606,1.314,0,0
40.1,0.466,0.220,0.042,-0.661,-0.606,1.344,0,0
40.5,0.501,0.220,0.042,-0.616,-0.606,1.388,0,0
41.1,0.516,0.220,0.042,-0.579,-0.606,1.426,0,0
41.6,0.551,0.220,0.042,-0.542,-0.605,1.463,0,0
42.0,0.551,0.220,0.042,-0.504,-0.604,1.501,0,0
42.6,0.559,0.220,0.000,-0.474,-0.603,1.531,0,0
43.0,0.534,0.220,0.000,-0.459,-0.603,1.545,0,0
43.6,0.534,0.220,0.000,-0.437,-0.602,1.568,0,0
44.0,0.468,0.220,0.000,-0.400,-0.601,1.605,0,0
44.6,0.420,0.024,0.000,-0.366,-0.600,1.639,0,0
45.1,0.420,0.024,0.000,-0.355,-0.600,1.650,0,0
45.6,0.404,0.024,0.000,-0.352,-0.599,1.653,0,0
46.0,0.394,0.000,0.042,-0.349,-0.599,1.656,0,0
46.6,0.400,0.000,0.126,-0.349,-0.599,1.656,0,0
47.1,0.400,0.000,0.126,-0.349,-0.599,1.656,0,0
47.6,0.386,0.000,0.126,-0.349,-0.599,1.656,0,0
48.0,0.395,0.000,0.042,-0.349,-0.599,1.656,0,0
48.5,0.395,0.000,0.042,-0.349,-0.599,1.656,0,0
49.1,0.387,0.000,0.042,-0.349,-0.599,1.656,0,0
49.6,0.386,0.000,0.042,-0.349,-0.599,1.656,0,0
50.1,0.386,0.000,0.042,-0.349,-0.599,1.656,0,0
50.6,0.404,0.000,0.042,-0.349,-0.599,1.656,0,0
51.1,0.405,0.000,0.042,-0.349,-0.599,1.656,0,0
51.5,0.404,0.000,0.042,-0.349,-0.599,1.656,0,0
52.1,0.404,0.000,0.042,-0.349,-0.599,1.656,0,0
52.6,0.390,0.000,0.042,-0.349,-0.599,1.656,0,0
53.0,0.404,0.000,0.042,-0.349,-0.599,1.656,0,0
53.5,0.399,0.000,0.042,-0.349,-0.599,1.656,0,0
54.1,0.399,0.000,0.042,-0.349,-0.599,1.656,0,0
54.6,0.405,0.000,0.042,-0.349,-0.599,1.656,0,0
55.1,0.403,0.000,0.042,-0.349,-0.599,1.656,0,0
55.5,0.403,0.000,0.042,-0.349,-0.599,1.656,0,0
56.1,0.393,0.000,0.042,-0.349,-0.599,1.656,0,0
56.6,0.399,0.000,0.042,-0.349,-0.599,1.656,0,0
57.0,0.396,0.000,0.800,-0.349,-0.599,1.657,1,0
57.6,0.396,0.000,0.316,-0.349,-0.600,1.657,0,0
58.1,0.395,0.000,-0.126,-0.349,-0.600,1.657,0,0
58.6,0.404,0.000,-0.126,-0.349,-0.600,1.657,0,0
59.1,0.405,0.000,-0.042,-0.349,-0.600,1.657,0,0
59.6,0.393,0.000,-0.042,-0.349,-0.600,1.657,0,0
60.1,0.393,0.000,-0.042,-0.349,-0.600,1.657,0,0
60.6,0.397,0.000,-0.042,-0.349,-0.600,1.657,0,0
61.0,0.397,0.000,-0.042,-0.349,-0.599,1.657,0,0
61.6,0.405,0.000,-0.042,-0.349,-0.599,1.657,0,0
62.1,0.397,0.000,-0.042,-0.349,-0.599,1.657,0,0
62.6,0.398,0.000,-0.042,-0.349,-0.599,1.657,0,0
63.1,0.398,0.000,-0.042,-0.349,-0.599,1.657,0,0
63.5,0.399,0.000,-0.042,-0.349,-0.599,1.657,0,0
64.0,0.400,0.000,-0.042,-0.349,-0.599,1.657,0,0
64.6,0.400,0.000,-0.042,-0.349,-0.599,1.657,0,0
65.1,0.393,0.000,-0.042,-0.349,-0.599,1.657,0,0
65.6,0.408,0.000,-0.042,-0.349,-0.599,1.657,0,0
66.0,0.399,0.000,-0.042,-0.349,-0.599,1.657,0,0
66.5,0.395,0.000,-0.042,-0.349,-0.599,1.657,0,0
67.1,0.395,0.000,-0.042,-0.349,-0.599,1.657,0,0
67.6,0.397,0.000,-0.042,-0.349,-0.599,1.657,0,0
68.1,0.396,0.000,-0.042,-0.349,-0.599,1.657,0,0
68.6,0.396,0.000,-0.042,-0.349,-0.599,1.657,0,0
69.1,0.404,0.000,-0.042,-0.349,-0.599,1.657,0,0
69.6,0.405,0.000,-0.042,-0.349,-0.599,1.657,0,0
70.1,0.410,0.000,-0.042,-0.349,-0.599,1.657,0,0
70.5,0.400,0.000,0.042,-0.349,-0.599,1.657,0,0
71.0,0.400,0.000,-0.042,-0.349,-0.599,1.657,0,0
71.6,0.404,0.000,-0.042,-0.349,-0.599,1.657,0,0
72.1,0.401,0.000,0.042,-0.349,-0.599,1.657,0,0
72.6,0.401,0.000,0.000,-0.349,-0.599,1.657,0,0
73.0,0.400,0.000,0.000,-0.349,-0.599,1.657,0,0
73.6,0.400,0.000,-0.042,-0.349,-0.599,1.657,0,0
74.0,0.406,0.000,0.042,-0.349,-0.599,1.657,0,0
74.6,0.402,0.000,0.042,-0.349,-0.599,1.657,0,0
75.0,0.402,0.000,-0.042,-0.349,-0.599,1.657,0,0
75.6,0.398,0.000,-0.042,-0.349,-0.599,1.657,0,0
76.0,0.403,0.000,0.042,-0.349,-0.599,1.657,0,0
76.5,0.400,0.000,0.042,-0.349,-0.599,1.657,0,0
77.1,0.409,0.000,-0.042,-0.349,-0.599,1.657,0,0
77.5,0.401,0.000,-0.042,-0.349,-0.599,1.657,0,0
78.1,0.401,0.000,0.042,-0.349,-0.599,1.657,0,0
