time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.8,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
1.3,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
1.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
2.3,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
2.8,0.507,0.000,0.000,-2.000,-0.500,0.000,0,0
3.3,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
3.8,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
4.3,0.524,0.000,0.000,-2.000,-0.500,0.000,0,0
4.8,0.524,0.000,0.000,-2.000,-0.500,0.000,0,0
5.3,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
5.8,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
6.3,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
6.9,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
7.3,0.503,0.000,0.000,-2.000,-0.500,0.000,0,0
7.8,0.503,0.000,0.000,-2.000,-0.500,0.000,0,0
8.3,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
8.8,0.525,0.000,0.000,-2.000,-0.500,0.000,0,0
9.3,0.525,0.000,0.000,-2.000,-0.500,0.000,0,0
9.8,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
10.3,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
10.8,0.510,0.000,0.000,-2.000,-0.500,0.000,0,0
11.3,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
11.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
12.3,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
12.8,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
13.3,0.520,0.000,0.000,-2.000,-0.500,0.000,0,0
13.8,0.522,0.000,0.000,-2.000,-0.500,0.000,0,0
14.3,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
14.8,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
15.3,0.512,0.000,0.000,-2.000,-0.500,0.000,0,0
15.8,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
16.3,0.515,0.000,0.000,-2.000,-0.500,0.000,0,0
16.8,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
17.3,0.516,0.000,0.000,-2.000,-0.500,0.000,0,0
17.8,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
18.3,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
18.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
19.3,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
19.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
20.3,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
20.8,0.517,0.000,0.000,-2.000,-0.500,0.000,0,0
21.3,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
21.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
22.3,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
22.8,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
23.3,0.509,0.000,0.000,-2.000,-0.500,0.000,0,0
23.8,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
24.3,0.519,0.000,0.000,-2.000,-0.500,0.000,0,0
24.8,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
25.3,0.513,0.000,0.000,-2.000,-0.500,0.000,0,0
25.8,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
26.3,0.521,0.000,0.000,-2.000,-0.500,0.000,0,0
26.8,0.518,0.000,0.000,-2.000,-0.500,0.000,0,0
27.3,0.510,0.004,0.004,-2.000,-0.500,0.000,0,0
27.8,0.510,-0.002,0.019,-1.999,-0.500,0.001,0,0
28.3,0.514,-0.004,0.004,-2.000,-0.500,0.001,0,0
28.8,0.514,0.002,0.008,-2.000,-0.500,0.001,0,0
29.3,0.514,-0.000,0.006,-2.000,-0.500,0.001,0,0
29.8,0.519,-0.001,0.005,-2.000,-0.500,0.001,0,0
30.3,0.519,-0.003,0.006,-2.000,-0.500,0.002,0,0
30.9,0.521,-0.006,0.013,-2.000,-0.500,0.002,0,0
31.3,0.521,-0.013,0.028,-2.001,-0.500,0.003,0,0
31.8,0.512,-0.017,0.037,-2.003,-0.500,0.005,0,0
32.3,0.512,-0.022,0.047,-2.005,-0.500,0.007,0,0
32.8,0.512,-0.024,0.051,-2.008,-0.500,0.010,0,0
33.3,0.511,-0.026,0.053,-2.009,-0.500,0.011,0,0
33.8,0.511,-0.028,0.056,-2.013,-0.500,0.014,0,0
34.3,0.508,-0.030,0.059,-2.017,-0.500,0.018,0,0
34.8,0.494,-0.031,0.059,-2.020,-0.501,0.022,0,0
35.3,0.494,-0.032,0.060,-2.023,-0.501,0.025,0,0
35.8,0.484,-0.033,0.061,-2.028,-0.501,0.030,0,0
36.3,0.484,-0.034,0.061,-2.032,-0.501,0.033,0,0
36.8,0.491,-0.034,0.061,-2.036,-0.502,0.038,0,0
37.3,0.482,-0.034,0.061,-2.041,-0.502,0.043,0,0
37.8,0.482,-0.034,0.061,-2.044,-0.502,0.046,0,0
38.3,0.470,-0.035,0.061,-2.049,-0.503,0.051,0,0
38.8,0.461,-0.035,0.061,-2.055,-0.503,0.057,0,0
39.3,0.461,-0.035,0.061,-2.059,-0.504,0.060,0,0
