time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.7,inf,0.000,0.000,-1.996,-0.500,0.000,0,0
1.2,0.520,0.000,0.000,-1.983,-0.500,0.014,0,0
1.7,0.520,0.000,0.000,-1.961,-0.500,0.036,0,0
2.2,0.559,0.000,0.000,-1.938,-0.500,0.058,0,0
2.7,0.559,0.000,0.000,-1.916,-0.500,0.081,0,0
3.2,0.559,0.000,0.000,-1.908,-0.500,0.088,0,0
3.7,0.604,0.220,0.000,-1.878,-0.500,0.118,0,0
4.2,0.628,0.220,0.000,-1.834,-0.500,0.163,0,0
4.7,0.682,0.220,0.000,-1.804,-0.500,0.193,0,0
5.2,0.682,0.220,0.000,-1.774,-0.500,0.223,0,0
5.7,0.699,0.220,0.000,-1.744,-0.500,0.253,0,0
6.2,0.667,0.220,0.000,-1.706,-0.500,0.290,0,0
6.7,0.633,0.220,0.000,-1.669,-0.500,0.327,0,0
7.2,0.591,0.220,0.000,-1.617,-0.500,0.380,0,0
7.7,0.558,0.220,0.000,-1.579,-0.500,0.417,0,0
8.2,0.558,0.220,0.000,-1.557,-0.500,0.440,0,0
8.7,0.520,0.220,0.000,-1.519,-0.500,0.477,0,0
9.2,0.492,0.220,0.000,-1.497,-0.500,0.500,0,0
9.7,0.468,0.220,0.000,-1.460,-0.500,0.537,0,0
10.2,0.468,0.220,0.000,-1.422,-0.500,0.574,0,0
10.7,0.448,0.220,0.000,-1.377,-0.500,0.619,0,0
11.2,0.421,0.220,0.000,-1.332,-0.500,0.664,0,0
11.7,0.403,0.220,0.000,-1.295,-0.500,0.701,0,0
12.2,0.378,0.220,-0.300,-1.250,-0.500,0.746,0,0
12.7,0.364,0.220,-0.300,-1.205,-0.503,0.791,0,0
13.2,0.345,0.220,0.000,-1.153,-0.509,0.844,0,0
13.7,0.345,0.220,0.000,-1.108,-0.514,0.889,0,0
14.2,0.347,0.220,0.000,-1.064,-0.519,0.934,0,0
14.7,0.346,0.220,0.000,-0.997,-0.526,1.001,0,0
15.2,0.366,0.220,0.000,-0.945,-0.532,1.053,0,0
15.7,0.390,0.220,0.000,-0.908,-0.536,1.091,0,0
16.2,0.400,0.215,-0.028,-0.864,-0.541,1.135,0,0
16.7,0.421,0.081,0.027,-0.821,-0.546,1.178,0,0
17.2,0.436,0.080,0.107,-0.804,-0.548,1.195,0,0
17.7,0.448,0.088,0.066,-0.790,-0.550,1.209,0,0
18.2,0.466,0.088,0.077,-0.769,-0.552,1.230,0,0
18.7,0.472,0.088,0.345,-0.752,-0.553,1.248,0,0
19.2,0.480,0.088,-0.003,-0.734,-0.553,1.266,0,0
19.7,0.483,0.062,-0.288,-0.719,-0.553,1.281,0,0
