time_sec,min_clearance_m,linear_vel,angular_vel,pos_x,pos_y,distance_traveled_m,is_rotating,collision
0.7,0.268,0.000,0.000,-2.010,-0.970,0.001,0,0
1.2,0.265,0.000,0.000,-2.011,-0.970,0.002,0,0
1.7,0.263,0.000,0.000,-2.011,-0.970,0.002,0,0
2.2,0.263,0.000,0.000,-2.012,-0.971,0.003,0,0
2.7,0.263,0.000,0.000,-2.012,-0.971,0.003,0,0
3.2,0.259,0.000,0.000,-2.012,-0.971,0.004,0,0
3.7,0.259,0.000,0.000,-2.012,-0.971,0.004,0,0
4.2,0.263,0.000,0.000,-2.013,-0.972,0.005,0,0
4.7,0.263,0.000,0.000,-2.014,-0.972,0.006,0,0
5.3,0.263,0.000,0.000,-2.014,-0.972,0.006,0,0
5.7,0.256,0.000,0.000,-2.014,-0.973,0.006,0,0
6.2,0.262,0.000,0.000,-2.015,-0.973,0.007,0,0
6.7,0.262,0.000,0.000,-2.016,-0.974,0.008,0,0
7.2,0.253,0.000,0.000,-2.016,-0.974,0.009,0,0
7.7,0.256,0.000,0.000,-2.017,-0.974,0.009,0,0
8.2,0.256,0.000,0.000,-2.017,-0.975,0.010,0,0
8.7,0.255,0.000,0.000,-2.018,-0.975,0.011,0,0
9.2,0.260,0.000,0.000,-2.019,-0.976,0.012,0,0
9.7,0.257,0.000,0.000,-2.019,-0.976,0.012,0,0
10.2,0.253,0.000,0.000,-2.020,-0.977,0.013,0,0
10.7,0.253,0.000,0.000,-2.020,-0.977,0.014,0,0
11.2,0.251,0.000,0.000,-2.021,-0.978,0.015,0,0
11.7,0.254,0.000,0.000,-2.022,-0.978,0.016,0,0
12.2,0.253,0.000,0.000,-2.022,-0.979,0.016,0,0
12.7,0.253,0.000,0.000,-2.023,-0.979,0.017,0,0
13.2,0.258,0.000,0.000,-2.024,-0.980,0.019,0,0
13.7,0.254,0.000,0.000,-2.024,-0.981,0.019,0,0
14.2,0.254,0.000,0.000,-2.025,-0.981,0.020,0,0
14.7,0.243,0.000,0.000,-2.025,-0.981,0.020,0,0
15.2,0.243,0.000,0.000,-2.025,-0.981,0.020,0,0
15.7,0.243,0.000,0.000,-2.025,-0.981,0.020,0,0
16.2,0.255,0.000,0.000,-2.025,-0.982,0.021,0,0
16.7,0.255,0.000,0.000,-2.026,-0.982,0.021,0,0
17.2,0.255,0.000,0.000,-2.026,-0.982,0.022,0,0
17.8,0.246,0.000,0.000,-2.027,-0.983,0.022,0,0
18.2,0.245,0.000,0.000,-2.027,-0.983,0.023,0,0
18.7,0.245,0.000,0.000,-2.027,-0.984,0.024,0,0
19.2,0.243,0.000,0.000,-2.028,-0.984,0.024,0,0
19.7,0.243,0.000,0.000,-2.029,-0.985,0.025,0,0
20.2,0.238,0.000,0.000,-2.029,-0.985,0.026,0,0
20.7,0.238,0.000,0.000,-2.029,-0.986,0.026,0,0
21.2,0.238,0.000,0.000,-2.030,-0.986,0.027,0,0
21.7,0.232,0.180,0.894,-2.026,-0.981,0.035,0,0
22.2,0.255,0.180,0.971,-2.012,-0.966,0.055,0,0
22.7,0.255,0.180,0.969,-1.999,-0.946,0.079,0,0
23.2,0.292,0.180,0.946,-1.985,-0.919,0.109,0,0
23.7,0.331,0.180,0.722,-1.975,-0.884,0.146,0,0
